# GENERATED BY `cargo xtask lab`. Do not hand-edit — regenerate it.
#
# These are the movement numbers this tree produces. `cargo test -p straf3-lab`
# recomputes them and fails on any difference, naming which measurement moved.
# A change here is a change to how the game moves: it belongs in the same commit
# as the movement change that caused it, with the reason in the message.
#
# Format: key<TAB>value<TAB>unit, sorted by key.
cpm.overbounce.launch0600from0508875.gain_ups	431.65	ups
cpm.overbounce.launch0600from0508875.peak_ups	1031.65	ups
cpm.ramp.deg05.cos_angle	0.9962	
cpm.ramp.deg05.downslope_after_horizontal_ups	181.38	ups
cpm.ramp.deg05.downslope_after_total_ups	182.08	ups
cpm.ramp.deg05.downslope_at_seam_ups	400.00	ups
cpm.ramp.deg05.downslope_before_seam_ups	400.00	ups
cpm.ramp.deg05.downslope_end_state	grounded	
cpm.ramp.deg05.downslope_flat_control_ups	182.08	ups
cpm.ramp.deg05.downslope_seam_ratio	1.0000	
cpm.ramp.deg05.downslope_seam_total_ups	400.00	ups
cpm.ramp.deg05.downslope_vs_flat_ups	0.00	ups
cpm.ramp.deg05.normal_z	0.9962	
cpm.ramp.deg05.off_the_top_after_horizontal_ups	156.50	ups
cpm.ramp.deg05.off_the_top_after_total_ups	157.09	ups
cpm.ramp.deg05.off_the_top_at_seam_ups	345.12	ups
cpm.ramp.deg05.off_the_top_before_seam_ups	362.52	ups
cpm.ramp.deg05.off_the_top_end_state	grounded	
cpm.ramp.deg05.off_the_top_flat_control_ups	157.09	ups
cpm.ramp.deg05.off_the_top_seam_ratio	0.9520	
cpm.ramp.deg05.off_the_top_seam_total_ups	345.12	ups
cpm.ramp.deg05.off_the_top_vs_flat_ups	0.00	ups
cpm.ramp.deg05.seam_ratio_minus_cos	0.0000	
cpm.ramp.deg05.standing_state	grounded	
cpm.ramp.deg05.uphill_after_horizontal_ups	327.52	ups
cpm.ramp.deg05.uphill_after_total_ups	328.78	ups
cpm.ramp.deg05.uphill_at_seam_ups	719.53	ups
cpm.ramp.deg05.uphill_before_seam_ups	761.60	ups
cpm.ramp.deg05.uphill_end_state	grounded	
cpm.ramp.deg05.uphill_flat_control_ups	327.52	ups
cpm.ramp.deg05.uphill_seam_ratio	0.9484	
cpm.ramp.deg05.uphill_seam_ratio_less_friction	0.9962	
cpm.ramp.deg05.uphill_seam_total_ups	722.28	ups
cpm.ramp.deg05.uphill_vs_flat_ups	1.25	ups
cpm.ramp.deg05.walkable	yes	
cpm.ramp.deg10.cos_angle	0.9848	
cpm.ramp.deg10.downslope_after_horizontal_ups	179.31	ups
cpm.ramp.deg10.downslope_after_total_ups	182.08	ups
cpm.ramp.deg10.downslope_at_seam_ups	400.00	ups
cpm.ramp.deg10.downslope_before_seam_ups	400.00	ups
cpm.ramp.deg10.downslope_end_state	grounded	
cpm.ramp.deg10.downslope_flat_control_ups	182.08	ups
cpm.ramp.deg10.downslope_seam_ratio	1.0000	
cpm.ramp.deg10.downslope_seam_total_ups	400.00	ups
cpm.ramp.deg10.downslope_vs_flat_ups	0.00	ups
cpm.ramp.deg10.normal_z	0.9848	
cpm.ramp.deg10.off_the_top_after_horizontal_ups	163.09	ups
cpm.ramp.deg10.off_the_top_after_total_ups	165.60	ups
cpm.ramp.deg10.off_the_top_at_seam_ups	345.12	ups
cpm.ramp.deg10.off_the_top_before_seam_ups	362.52	ups
cpm.ramp.deg10.off_the_top_end_state	grounded	
cpm.ramp.deg10.off_the_top_flat_control_ups	157.09	ups
cpm.ramp.deg10.off_the_top_seam_ratio	0.9520	
cpm.ramp.deg10.off_the_top_seam_total_ups	345.12	ups
cpm.ramp.deg10.off_the_top_vs_flat_ups	8.51	ups
cpm.ramp.deg10.seam_ratio_minus_cos	0.0000	
cpm.ramp.deg10.standing_state	grounded	
cpm.ramp.deg10.uphill_after_horizontal_ups	320.08	ups
cpm.ramp.deg10.uphill_after_total_ups	325.02	ups
cpm.ramp.deg10.uphill_at_seam_ups	703.16	ups
cpm.ramp.deg10.uphill_before_seam_ups	761.60	ups
cpm.ramp.deg10.uphill_end_state	grounded	
cpm.ramp.deg10.uphill_flat_control_ups	320.07	ups
cpm.ramp.deg10.uphill_seam_ratio	0.9375	
cpm.ramp.deg10.uphill_seam_ratio_less_friction	0.9848	
cpm.ramp.deg10.uphill_seam_total_ups	714.03	ups
cpm.ramp.deg10.uphill_vs_flat_ups	4.95	ups
cpm.ramp.deg10.walkable	yes	
cpm.ramp.deg15.cos_angle	0.9659	
cpm.ramp.deg15.downslope_after_horizontal_ups	175.87	ups
cpm.ramp.deg15.downslope_after_total_ups	182.08	ups
cpm.ramp.deg15.downslope_at_seam_ups	400.00	ups
cpm.ramp.deg15.downslope_before_seam_ups	400.00	ups
cpm.ramp.deg15.downslope_end_state	grounded	
cpm.ramp.deg15.downslope_flat_control_ups	182.08	ups
cpm.ramp.deg15.downslope_seam_ratio	1.0000	
cpm.ramp.deg15.downslope_seam_total_ups	400.00	ups
cpm.ramp.deg15.downslope_vs_flat_ups	0.00	ups
cpm.ramp.deg15.normal_z	0.9659	
cpm.ramp.deg15.off_the_top_after_horizontal_ups	345.12	ups
cpm.ramp.deg15.off_the_top_after_total_ups	359.99	ups
cpm.ramp.deg15.off_the_top_at_seam_ups	345.12	ups
cpm.ramp.deg15.off_the_top_before_seam_ups	362.52	ups
cpm.ramp.deg15.off_the_top_end_state	airborne	
cpm.ramp.deg15.off_the_top_flat_control_ups	157.09	ups
