# Generated by probes/course-lab.
# search search of ../../assets/maps/cleave.map for goal finish (0x00000002); reported 0 ms, checksum 0x440663031df16b10
# Replay it with `straf3 --replay <this file> --map ../../assets/maps/cleave.map`; the
# final checksum must equal the one course-lab printed beside it.

rate 125
profile cpm
world map
spawn -320.0 -736.0 24.125
yaw 0.0

# cmd <repeat> <fwd> <right> <up> <buttons> <pitch> <yaw> <roll>
cmd 1 127 127 0 - 0.0 62.98462 0.0
cmd 1 127 127 0 - 0.0 61.984863 0.0
cmd 1 127 127 0 - 0.0 60.985107 0.0
cmd 1 127 127 0 - 0.0 59.98535 0.0
cmd 1 127 127 0 - 0.0 58.985596 0.0
cmd 1 127 127 0 - 0.0 57.98584 0.0
cmd 1 127 127 0 - 0.0 56.986084 0.0
cmd 1 127 127 0 - 0.0 55.98633 0.0
cmd 1 127 127 0 - 0.0 54.986572 0.0
cmd 1 127 127 0 - 0.0 53.986816 0.0
cmd 1 127 127 0 - 0.0 52.98706 0.0
cmd 9 127 127 0 - 0.0 51.987305 0.0
cmd 1 127 0 0 - 0.0 50.98755 0.0
cmd 1 127 0 0 - 0.0 49.987793 0.0
cmd 1 127 0 0 - 0.0 48.988037 0.0
cmd 1 127 0 0 - 0.0 47.98828 0.0
cmd 1 127 0 0 - 0.0 46.988525 0.0
cmd 1 127 0 0 - 0.0 45.98877 0.0
cmd 1 127 0 0 - 0.0 44.989014 0.0
cmd 1 127 0 0 - 0.0 43.989258 0.0
cmd 1 0 127 0 - 0.0 42.989502 0.0
cmd 1 0 127 0 jump 0.0 41.989746 0.0
cmd 1 0 127 0 - 0.0 40.98999 0.0
cmd 1 0 127 0 - 0.0 39.990234 0.0
cmd 1 0 127 0 - 0.0 38.99048 0.0
cmd 1 0 127 0 - 0.0 37.990723 0.0
cmd 1 0 127 0 - 0.0 36.990967 0.0
cmd 1 0 127 0 - 0.0 35.99121 0.0
cmd 1 0 127 0 - 0.0 34.991455 0.0
cmd 1 0 127 0 - 0.0 33.9917 0.0
cmd 1 0 127 0 - 0.0 32.991943 0.0
cmd 1 0 127 0 - 0.0 31.992188 0.0
cmd 1 0 127 0 - 0.0 30.992432 0.0
cmd 1 0 127 0 - 0.0 29.992676 0.0
cmd 1 0 127 0 - 0.0 28.99292 0.0
cmd 1 0 127 0 - 0.0 27.993164 0.0
cmd 1 127 0 0 - 0.0 31.992188 0.0
cmd 1 127 0 0 - 0.0 35.99121 0.0
cmd 1 127 0 0 - 0.0 39.990234 0.0
cmd 1 127 0 0 - 0.0 43.989258 0.0
cmd 1 127 0 0 - 0.0 47.98828 0.0
cmd 1 127 0 0 - 0.0 51.987305 0.0
cmd 1 127 0 0 - 0.0 55.98633 0.0
cmd 1 127 0 0 - 0.0 59.98535 0.0
cmd 1 127 0 0 - 0.0 62.48474 0.0
cmd 1 127 0 0 - 0.0 64.98413 0.0
cmd 1 127 0 0 - 0.0 67.48352 0.0
cmd 1 127 0 0 - 0.0 69.98291 0.0
cmd 1 127 0 0 - 0.0 72.4823 0.0
cmd 1 127 0 0 - 0.0 74.98169 0.0
cmd 1 127 0 0 - 0.0 77.48108 0.0
cmd 1 127 0 0 - 0.0 79.98047 0.0
cmd 1 127 0 0 - 0.0 82.47986 0.0
cmd 1 127 0 0 - 0.0 84.97925 0.0
