# A DOCTORED copy of coil-run.txt, for criterion 6's ghost race.
#
# Made by probes/coil-course/results/make_slow_variant.py: stall 1 at 835.
# Nothing else differs from the original.
#
# It exists because a session that plays coil-run.txt against a personal
# best set by coil-run.txt races a ghost of itself and the split is zero.
# Zero is a true number and weak evidence — it is also what a comparison
# that was not happening at all would print. This run finishes in
# 5112 ms against the original's 5096 ms, so the split is
# +16 ms: visibly non-zero, and the right sign.
#
# The perturbation was not chosen by taste. The script sweeps candidates
# and replays every one, because these commands are absolute view angles
# timed for a moving player: most changes end the run in a wall rather
# than merely slowing it down.


rate 125
profile cpm
world map
spawn -320.0 -736.0 24.125
yaw 0.0

# cmd <repeat> <fwd> <right> <up> <buttons> <pitch> <yaw> <roll>
cmd 1 127 127 0 - 0.0 83.97949 0.0
cmd 1 127 127 0 - 0.0 82.97974 0.0
cmd 1 127 127 0 - 0.0 81.97998 0.0
cmd 1 127 127 0 - 0.0 80.980225 0.0
cmd 1 127 127 0 - 0.0 79.98047 0.0
cmd 1 127 127 0 - 0.0 78.98071 0.0
cmd 1 127 127 0 - 0.0 77.98096 0.0
cmd 1 127 127 0 - 0.0 76.9812 0.0
cmd 1 127 127 0 - 0.0 75.981445 0.0
cmd 1 127 127 0 - 0.0 74.98169 0.0
cmd 1 127 127 0 - 0.0 73.98193 0.0
cmd 1 127 127 0 - 0.0 72.98218 0.0
cmd 1 127 127 0 - 0.0 71.98242 0.0
cmd 1 127 127 0 - 0.0 70.982666 0.0
cmd 1 127 127 0 jump 0.0 69.98291 0.0
cmd 1 127 127 0 - 0.0 68.983154 0.0
cmd 1 127 127 0 - 0.0 67.9834 0.0
cmd 1 127 127 0 - 0.0 66.98364 0.0
cmd 1 127 127 0 - 0.0 65.98389 0.0
cmd 1 127 127 0 - 0.0 64.98413 0.0
cmd 17 127 127 0 - 0.0 63.984375 0.0
cmd 1 127 0 0 - 0.0 61.484985 0.0
cmd 1 127 0 0 - 0.0 58.985596 0.0
cmd 1 127 0 0 - 0.0 56.486206 0.0
cmd 1 127 0 0 - 0.0 53.986816 0.0
cmd 1 127 0 0 - 0.0 51.487427 0.0
cmd 1 127 0 0 - 0.0 48.988037 0.0
cmd 1 127 0 0 - 0.0 46.488647 0.0
cmd 1 127 0 0 - 0.0 43.989258 0.0
cmd 1 127 0 0 - 0.0 41.48987 0.0
cmd 1 127 0 0 - 0.0 38.99048 0.0
cmd 1 127 0 0 - 0.0 36.49109 0.0
cmd 1 127 0 0 - 0.0 33.9917 0.0
cmd 1 127 0 0 - 0.0 31.49231 0.0
cmd 1 127 0 0 - 0.0 28.99292 0.0
cmd 1 127 0 0 - 0.0 26.49353 0.0
cmd 1 127 0 0 - 0.0 23.99414 0.0
cmd 1 127 0 0 - 0.0 32.991943 0.0
cmd 1 127 0 0 - 0.0 41.989746 0.0
cmd 1 127 0 0 - 0.0 50.98755 0.0
cmd 1 127 0 0 - 0.0 59.98535 0.0
cmd 1 127 0 0 - 0.0 68.983154 0.0
cmd 1 127 0 0 - 0.0 77.98096 0.0
cmd 1 127 0 0 - 0.0 86.97876 0.0
cmd 1 127 0 0 - 0.0 95.97656 0.0
cmd 1 127 0 0 - 0.0 104.974365 0.0
cmd 1 127 0 0 - 0.0 113.97217 0.0
cmd 1 127 0 0 - 0.0 122.96997 0.0
cmd 1 127 0 0 - 0.0 131.96777 0.0
cmd 1 127 0 0 - 0.0 140.96558 0.0
cmd 1 127 0 0 - 0.0 149.96338 0.0
cmd 1 127 0 0 - 0.0 158.96118 0.0
cmd 1 127 0 0 - 0.0 167.95898 0.0
cmd 1 127 0 0 - 0.0 176.95679 0.0
cmd 1 127 0 0 - 0.0 185.95459 0.0
cmd 1 127 0 0 - 0.0 194.9524 0.0
cmd 1 127 0 0 - 0.0 203.9502 0.0
cmd 1 127 0 0 jump 0.0 212.948 0.0
cmd 1 127 0 0 - 0.0 221.9458 0.0
cmd 1 127 0 0 - 0.0 230.9436 0.0
cmd 1 127 0 0 jump 0.0 239.9414 0.0
cmd 1 0 127 0 - 0.0 240.94116 0.0
cmd 1 0 127 0 - 0.0 241.94092 0.0
cmd 1 0 127 0 - 0.0 242.94067 0.0
cmd 1 0 127 0 - 0.0 243.94043 0.0
cmd 1 0 127 0 jump 0.0 244.94019 0.0
cmd 1 0 127 0 - 0.0 245.93994 0.0
cmd 1 0 127 0 - 0.0 246.9397 0.0
cmd 1 0 127 0 - 0.0 247.93945 0.0
cmd 1 0 127 0 - 0.0 248.93921 0.0
cmd 1 0 127 0 - 0.0 249.93896 0.0
cmd 1 0 127 0 - 0.0 250.93872 0.0
cmd 1 0 127 0 - 0.0 251.93848 0.0
cmd 1 0 127 0 - 0.0 252.93823 0.0
cmd 1 0 127 0 - 0.0 253.93799 0.0
cmd 1 0 127 0 - 0.0 254.93774 0.0
cmd 1 0 127 0 - 0.0 255.9375 0.0
cmd 1 0 127 0 - 0.0 256.93726 0.0
cmd 1 0 127 0 - 0.0 257.937 0.0
cmd 1 0 127 0 - 0.0 258.93677 0.0
cmd 1 0 127 0 - 0.0 259.93652 0.0
cmd 1 0 127 0 - 0.0 260.93628 0.0
cmd 1 0 127 0 - 0.0 261.93604 0.0
cmd 1 0 127 0 - 0.0 262.9358 0.0
cmd 1 0 127 0 - 0.0 263.93555 0.0
cmd 1 0 0 0 - 0.0 251.93298 0.0
cmd 1 0 0 0 - 0.0 239.93042 0.0
cmd 1 0 0 0 - 0.0 227.92786 0.0
cmd 1 0 0 0 - 0.0 215.9253 0.0
cmd 1 0 0 0 - 0.0 203.92273 0.0
cmd 1 0 0 0 - 0.0 191.92017 0.0
cmd 1 0 0 0 - 0.0 179.9176 0.0
cmd 1 0 0 0 - 0.0 167.91504 0.0
cmd 24 127 0 0 - 0.0 167.91504 0.0
cmd 1 127 127 0 - 0.0 168.9148 0.0
cmd 1 127 127 0 - 0.0 169.91455 0.0
cmd 1 127 127 0 - 0.0 170.9143 0.0
cmd 1 127 127 0 - 0.0 171.91406 0.0
cmd 1 127 127 0 - 0.0 172.91382 0.0
cmd 1 127 127 0 - 0.0 173.91357 0.0
cmd 1 127 127 0 - 0.0 174.91333 0.0
cmd 1 127 127 0 - 0.0 175.91309 0.0
cmd 16 127 0 0 - 0.0 175.91309 0.0
cmd 1 127 127 0 - 0.0 176.91284 0.0
cmd 1 127 127 0 - 0.0 177.9126 0.0
cmd 1 127 127 0 - 0.0 178.91235 0.0
cmd 1 127 127 0 - 0.0 179.91211 0.0
cmd 1 127 127 0 - 0.0 180.91187 0.0
cmd 1 127 127 0 - 0.0 181.91162 0.0
cmd 1 127 127 0 - 0.0 182.91138 0.0
cmd 1 127 127 0 - 0.0 183.91113 0.0
cmd 1 127 127 0 - 0.0 184.91089 0.0
cmd 1 127 127 0 - 0.0 185.91064 0.0
cmd 1 127 127 0 - 0.0 186.9104 0.0
cmd 1 127 127 0 - 0.0 187.91016 0.0
cmd 1 127 127 0 - 0.0 188.90991 0.0
cmd 1 127 127 0 - 0.0 189.90967 0.0
cmd 1 127 127 0 - 0.0 190.90942 0.0
cmd 1 127 127 0 - 0.0 191.90918 0.0
cmd 1 127 127 0 - 0.0 192.90894 0.0
cmd 1 127 127 0 - 0.0 193.90869 0.0
cmd 1 127 127 0 - 0.0 194.90845 0.0
cmd 1 127 127 0 - 0.0 195.9082 0.0
cmd 1 127 127 0 - 0.0 196.90796 0.0
cmd 1 127 127 0 - 0.0 197.90771 0.0
cmd 1 127 127 0 - 0.0 198.90747 0.0
cmd 1 127 127 0 - 0.0 199.90723 0.0
cmd 1 127 127 0 - 0.0 200.90698 0.0
cmd 1 127 127 0 - 0.0 201.90674 0.0
cmd 1 127 127 0 - 0.0 202.9065 0.0
cmd 1 127 127 0 - 0.0 203.90625 0.0
cmd 1 127 127 0 - 0.0 204.906 0.0
cmd 1 127 127 0 - 0.0 205.90576 0.0
cmd 1 127 127 0 - 0.0 206.90552 0.0
cmd 1 127 127 0 - 0.0 207.90527 0.0
cmd 1 127 127 0 - 0.0 203.90625 0.0
cmd 1 127 127 0 - 0.0 199.90723 0.0
cmd 1 127 127 0 - 0.0 195.9082 0.0
cmd 1 127 127 0 - 0.0 191.90918 0.0
cmd 1 127 127 0 - 0.0 187.91016 0.0
cmd 1 127 127 0 - 0.0 183.91113 0.0
cmd 1 127 127 0 - 0.0 179.91211 0.0
cmd 1 127 127 0 - 0.0 175.91309 0.0
cmd 1 127 0 0 - 0.0 176.91284 0.0
cmd 1 127 0 0 - 0.0 177.9126 0.0
cmd 1 127 0 0 - 0.0 178.91235 0.0
cmd 1 127 0 0 - 0.0 179.91211 0.0
cmd 1 127 0 0 - 0.0 180.91187 0.0
cmd 1 127 0 0 - 0.0 181.91162 0.0
cmd 1 127 0 0 - 0.0 182.91138 0.0
cmd 1 127 0 0 - 0.0 183.91113 0.0
cmd 1 127 127 0 - 0.0 192.90894 0.0
